Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10010_001,SE_A10010_002,SE_A10010_003,SE_A10010_004,SE_A10010_005,SE_A10010_006,SE_A10010_007,SE_A10010_008,SE_A10010_009,SE_A10010_010,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010
"06037185202","Census Tract 1852.02, Los Angeles County, California","ACSSF","ca","140","00","0004615",,,,,"06","037",,,"185202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037185202","Census Tract 1852.02",,,,4084,4084,2113,38,0,369,0,1152,412,1481,895,12,0,120,0,329,125,595,709,712,426,12,0,44,0,171,59,306,341
"06037185203","Census Tract 1852.03, Los Angeles County, California","ACSSF","ca","140","00","0004616",,,,,"06","037",,,"185203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037185203","Census Tract 1852.03",,,,2728,2728,952,15,53,177,0,1287,244,884,392,0,30,50,0,301,111,587,186,568,228,0,17,26,0,222,75,116,388
"06037185204","Census Tract 1852.04, Los Angeles County, California","ACSSF","ca","140","00","0004617",,,,,"06","037",,,"185204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037185204","Census Tract 1852.04",,,,1884,1884,753,62,18,472,0,362,217,726,302,19,6,223,0,67,109,240,219,206,46,0,6,23,0,47,84,7,155
"06037185310","Census Tract 1853.10, Los Angeles County, California","ACSSF","ca","140","00","0004618",,,,,"06","037",,,"185310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037185310","Census Tract 1853.10",,,,3053,3053,1314,54,0,179,0,1432,74,889,389,12,0,65,0,392,31,714,98,566,237,12,0,42,0,268,7,70,442
"06037185320","Census Tract 1853.20, Los Angeles County, California","ACSSF","ca","140","00","0004619",,,,,"06","037",,,"185320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037185320","Census Tract 1853.20",,,,2831,2831,913,18,53,137,0,1470,240,902,296,9,53,47,0,408,89,686,159,532,194,9,32,23,0,243,31,107,392
"06037186100","Census Tract 1861, Los Angeles County, California","ACSSF","ca","140","00","0004620",,,,,"06","037",,,"186100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186100","Census Tract 1861",,,,4848,4848,2128,53,92,1203,0,737,635,1862,901,18,35,443,0,194,271,471,764,774,306,0,35,189,0,106,138,213,263
"06037186201","Census Tract 1862.01, Los Angeles County, California","ACSSF","ca","140","00","0004621",,,,,"06","037",,,"186201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186201","Census Tract 1862.01",,,,3503,3503,988,84,0,1182,0,695,554,1280,407,73,0,446,0,228,126,454,263,773,191,73,0,304,0,194,11,103,259
"06037186202","Census Tract 1862.02, Los Angeles County, California","ACSSF","ca","140","00","0004622",,,,,"06","037",,,"186202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186202","Census Tract 1862.02",,,,1739,1739,667,49,18,583,7,94,321,695,321,34,8,215,7,23,87,185,269,381,128,34,6,155,7,2,49,111,97
"06037186203","Census Tract 1862.03, Los Angeles County, California","ACSSF","ca","140","00","0004623",,,,,"06","037",,,"186203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186203","Census Tract 1862.03",,,,3104,3104,1668,22,114,291,0,685,324,1071,703,0,35,96,0,107,130,372,556,228,147,0,0,32,0,37,12,116,80
"06037186301","Census Tract 1863.01, Los Angeles County, California","ACSSF","ca","140","00","0004624",,,,,"06","037",,,"186301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186301","Census Tract 1863.01",,,,2713,2713,976,166,87,234,0,836,414,818,349,70,34,52,0,220,93,465,219,587,242,38,17,38,0,191,61,143,363
"06037186302","Census Tract 1863.02, Los Angeles County, California","ACSSF","ca","140","00","0004625",,,,,"06","037",,,"186302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186302","Census Tract 1863.02",,,,5082,5082,2435,42,52,761,0,1287,505,1854,984,13,10,331,0,379,137,766,722,700,325,0,6,165,0,138,66,233,306
"06037186401","Census Tract 1864.01, Los Angeles County, California","ACSSF","ca","140","00","0004626",,,,,"06","037",,,"186401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186401","Census Tract 1864.01",,,,3042,3042,510,74,178,473,0,1360,447,876,208,29,50,138,0,338,113,618,108,750,170,29,40,125,0,296,90,88,525
"06037186403","Census Tract 1864.03, Los Angeles County, California","ACSSF","ca","140","00","0004627",,,,,"06","037",,,"186403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186403","Census Tract 1864.03",,,,2692,2692,604,38,162,503,0,1044,341,787,229,18,31,150,0,295,64,496,110,469,126,18,31,48,0,228,18,71,328
"06037186404","Census Tract 1864.04, Los Angeles County, California","ACSSF","ca","140","00","0004628",,,,,"06","037",,,"186404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186404","Census Tract 1864.04",,,,2795,2795,691,7,55,318,0,1353,371,793,285,0,42,90,0,305,71,479,195,561,203,0,42,30,0,243,43,143,376
"06037187101","Census Tract 1871.01, Los Angeles County, California","ACSSF","ca","140","00","0004629",,,,,"06","037",,,"187101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037187101","Census Tract 1871.01",,,,2983,2983,1139,0,17,1082,0,470,275,1196,527,0,17,371,0,169,112,362,425,600,257,0,17,163,0,121,42,181,218
"06037187102","Census Tract 1871.02, Los Angeles County, California","ACSSF","ca","140","00","0004630",,,,,"06","037",,,"187102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037187102","Census Tract 1871.02",,,,4588,4588,1304,116,271,1346,0,729,822,1597,626,66,92,415,0,202,196,629,467,969,350,66,64,223,0,161,105,234,442
"06037187200","Census Tract 1872, Los Angeles County, California","ACSSF","ca","140","00","0004631",,,,,"06","037",,,"187200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037187200","Census Tract 1872",,,,2809,2809,1352,25,15,386,12,796,223,1036,520,11,15,144,0,206,140,472,290,635,293,11,15,56,0,146,114,183,271
"06037187300","Census Tract 1873, Los Angeles County, California","ACSSF","ca","140","00","0004632",,,,,"06","037",,,"187300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037187300","Census Tract 1873",,,,3688,3688,2481,102,0,521,0,237,347,1579,1117,9,0,205,0,103,145,306,1007,935,682,7,0,86,0,89,71,609,226
"06037188100","Census Tract 1881, Los Angeles County, California","ACSSF","ca","140","00","0004633",,,,,"06","037",,,"188100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037188100","Census Tract 1881",,,,3842,3842,1681,36,99,435,0,1179,412,1831,995,34,23,240,0,380,159,624,861,1408,849,8,23,178,0,224,126,721,441
"06037188201","Census Tract 1882.01, Los Angeles County, California","ACSSF","ca","140","00","0004634",,,,,"06","037",,,"188201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037188201","Census Tract 1882.01",,,,3077,3077,2118,92,76,385,0,175,231,1554,1247,10,18,148,0,36,95,152,1189,1229,1008,10,18,95,0,36,62,969,115
"06037188202","Census Tract 1882.02, Los Angeles County, California","ACSSF","ca","140","00","0004635",,,,,"06","037",,,"188202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037188202","Census Tract 1882.02",,,,2832,2832,1742,68,0,600,0,211,211,1251,782,27,0,254,0,88,100,182,730,500,269,18,0,68,0,45,100,246,136
"06037188300","Census Tract 1883, Los Angeles County, California","ACSSF","ca","140","00","0004636",,,,,"06","037",,,"188300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037188300","Census Tract 1883",,,,3738,3738,1627,15,302,945,0,521,328,1379,664,0,42,392,0,149,132,307,568,795,360,0,32,224,0,96,83,295,203
"06037189101","Census Tract 1891.01, Los Angeles County, California","ACSSF","ca","140","00","0004637",,,,,"06","037",,,"189101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189101","Census Tract 1891.01",,,,2366,2366,1736,92,0,421,9,56,52,1214,928,63,0,147,0,49,27,116,877,949,736,63,0,74,0,49,27,696,105
"06037189102","Census Tract 1891.02, Los Angeles County, California","ACSSF","ca","140","00","0004638",,,,,"06","037",,,"189102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189102","Census Tract 1891.02",,,,3910,3910,2792,46,2,498,29,290,253,1967,1438,29,2,253,0,105,140,331,1260,1509,1106,29,0,184,0,105,85,934,296
