Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10060_001,SE_A10060_002,SE_A10060_003
"060375542031","Block Group 1, Census Tract 5542.03, Los Angeles County, California","ACSSF","ca","150","00","0020900",,,,,"06","037",,,"554203","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375542031","Block Group 1",,,,557,192,365
"060375542032","Block Group 2, Census Tract 5542.03, Los Angeles County, California","ACSSF","ca","150","00","0020901",,,,,"06","037",,,"554203","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375542032","Block Group 2",,,,325,190,135
"060375542033","Block Group 3, Census Tract 5542.03, Los Angeles County, California","ACSSF","ca","150","00","0020902",,,,,"06","037",,,"554203","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375542033","Block Group 3",,,,421,27,394
"060375542041","Block Group 1, Census Tract 5542.04, Los Angeles County, California","ACSSF","ca","150","00","0020903",,,,,"06","037",,,"554204","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375542041","Block Group 1",,,,791,161,630
"060375542042","Block Group 2, Census Tract 5542.04, Los Angeles County, California","ACSSF","ca","150","00","0020904",,,,,"06","037",,,"554204","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375542042","Block Group 2",,,,1019,48,971
"060375543011","Block Group 1, Census Tract 5543.01, Los Angeles County, California","ACSSF","ca","150","00","0020905",,,,,"06","037",,,"554301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375543011","Block Group 1",,,,254,168,86
"060375543012","Block Group 2, Census Tract 5543.01, Los Angeles County, California","ACSSF","ca","150","00","0020906",,,,,"06","037",,,"554301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375543012","Block Group 2",,,,590,123,467
"060375543013","Block Group 3, Census Tract 5543.01, Los Angeles County, California","ACSSF","ca","150","00","0020907",,,,,"06","037",,,"554301","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375543013","Block Group 3",,,,209,94,115
"060375543021","Block Group 1, Census Tract 5543.02, Los Angeles County, California","ACSSF","ca","150","00","0020908",,,,,"06","037",,,"554302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375543021","Block Group 1",,,,567,93,474
"060375543022","Block Group 2, Census Tract 5543.02, Los Angeles County, California","ACSSF","ca","150","00","0020909",,,,,"06","037",,,"554302","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375543022","Block Group 2",,,,619,164,455
"060375544031","Block Group 1, Census Tract 5544.03, Los Angeles County, California","ACSSF","ca","150","00","0020910",,,,,"06","037",,,"554403","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375544031","Block Group 1",,,,883,203,680
"060375544032","Block Group 2, Census Tract 5544.03, Los Angeles County, California","ACSSF","ca","150","00","0020911",,,,,"06","037",,,"554403","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375544032","Block Group 2",,,,911,202,709
"060375544041","Block Group 1, Census Tract 5544.04, Los Angeles County, California","ACSSF","ca","150","00","0020912",,,,,"06","037",,,"554404","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375544041","Block Group 1",,,,458,61,397
"060375544042","Block Group 2, Census Tract 5544.04, Los Angeles County, California","ACSSF","ca","150","00","0020913",,,,,"06","037",,,"554404","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375544042","Block Group 2",,,,868,212,656
"060375544051","Block Group 1, Census Tract 5544.05, Los Angeles County, California","ACSSF","ca","150","00","0020914",,,,,"06","037",,,"554405","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375544051","Block Group 1",,,,673,77,596
"060375544052","Block Group 2, Census Tract 5544.05, Los Angeles County, California","ACSSF","ca","150","00","0020915",,,,,"06","037",,,"554405","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375544052","Block Group 2",,,,692,127,565
"060375544061","Block Group 1, Census Tract 5544.06, Los Angeles County, California","ACSSF","ca","150","00","0020916",,,,,"06","037",,,"554406","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375544061","Block Group 1",,,,577,178,399
"060375544062","Block Group 2, Census Tract 5544.06, Los Angeles County, California","ACSSF","ca","150","00","0020917",,,,,"06","037",,,"554406","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375544062","Block Group 2",,,,266,191,75
"060375544063","Block Group 3, Census Tract 5544.06, Los Angeles County, California","ACSSF","ca","150","00","0020918",,,,,"06","037",,,"554406","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375544063","Block Group 3",,,,732,459,273
"060375545111","Block Group 1, Census Tract 5545.11, Los Angeles County, California","ACSSF","ca","150","00","0020919",,,,,"06","037",,,"554511","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545111","Block Group 1",,,,772,545,227
"060375545112","Block Group 2, Census Tract 5545.11, Los Angeles County, California","ACSSF","ca","150","00","0020920",,,,,"06","037",,,"554511","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545112","Block Group 2",,,,346,257,89
"060375545121","Block Group 1, Census Tract 5545.12, Los Angeles County, California","ACSSF","ca","150","00","0020921",,,,,"06","037",,,"554512","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545121","Block Group 1",,,,1021,474,547
"060375545122","Block Group 2, Census Tract 5545.12, Los Angeles County, California","ACSSF","ca","150","00","0020922",,,,,"06","037",,,"554512","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545122","Block Group 2",,,,397,343,54
"060375545123","Block Group 3, Census Tract 5545.12, Los Angeles County, California","ACSSF","ca","150","00","0020923",,,,,"06","037",,,"554512","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060375545123","Block Group 3",,,,746,682,64
