,APN,TOC
1069,5407022003,Tier 3
1070,5407022006,Tier 3
1071,5407022007,Tier 3
1072,5407022025,Tier 3
1073,5407024009,Tier 3
1074,5407024015,Tier 3
1075,5407024023,Tier 3
1076,5408013034,Tier 4
1077,5408014003,Tier 4
1078,5408014008,Tier 4
1079,5408014019,Tier 4
1080,5408015004,Tier 3
1081,5408016004,Tier 3
1082,5408016900,Tier 3
1083,5408018021,Tier 3
1084,5408019008,Tier 3
1085,5408019009,Tier 3
1086,5408019028,Tier 3
1087,5408019030,Tier 3
1088,5408019038,Tier 3
1089,5408019043,Tier 3
1090,5408019048,Tier 3
1091,5408019049,Tier 3
1092,5408019057,Tier 3
1093,5408019061,Tier 3
1094,5408020008,Tier 3
1095,5408027008,Tier 4
1096,5408030015,Tier 4
1097,5408030022,Tier 4
1098,5408030023,Tier 4
1099,5408031007,Tier 4
1100,5408032008,Tier 4
1101,5408032010,Tier 4
1102,5408033017,Tier 4
1103,5409003028,Tier 3
1104,5409003040,Tier 3
1105,5409003042,Tier 3
1106,5409004010,Tier 3
1107,5409004015,Tier 3
1108,5409006010,Tier 3
1109,5409006012,Tier 3
1110,5409006018,Tier 3
1111,5409006022,Tier 3
1112,5409006026,Tier 3
1113,5409007001,Tier 4
1114,5409008003,Tier 4
1115,5409008015,Tier 4
1116,5409008016,Tier 4
1117,5409010031,Tier 4
1118,5409010807,Tier 3
1119,5409012908,Tier 3
1120,5409015025,Tier 3
1121,5409015027,Tier 4
1122,5409016013,Tier 4
1123,5409016015,Tier 4
1124,5409018920,Tier 4
1125,5409019905,Tier 3
1126,5409020908,Tier 3
1127,5414004008,Tier 4
1128,5414005002,Tier 4
1129,5414005005,Tier 4
1130,5414005007,Tier 4
1131,5414005017,Tier 4
1132,5414005026,Tier 4
1133,5414005030,Tier 4
1134,5414005039,Tier 4
1135,5414005046,Tier 4
1136,5414005047,Tier 4
1137,5414005048,Tier 4
1138,5414006002,Tier 4
1139,5414006004,Tier 4
1140,5414006018,Tier 4
1141,5414006026,Tier 4
1142,5414006029,Tier 4
1143,5414007007,Tier 4
1144,5414008014,Tier 4
1145,5414008016,Tier 4
1146,5414008018,Tier 4
1147,5414009004,Tier 4
1148,5414009008,Tier 4
1149,5414010001,Tier 4
1150,5414010004,Tier 4
1151,5406022102,Tier 2
1152,5406027003,Tier 3
1153,5406027006,Tier 3
1154,5406027015,Tier 3
1155,5406028020,Tier 3
1156,5406028037,Tier 3
1157,5406028067,Tier 3
1158,5406028071,Tier 3
1159,5406028086,Tier 3
1160,5406028132,Tier 3
1161,5406028143,Tier 3
1162,5406028146,Tier 3
1163,5406028152,Tier 3
1164,5406029009,Tier 3
1165,5414015008,Tier 4
1166,5406028039,Tier 3
1167,5406028097,Tier 3
1168,5406028102,Tier 3
1169,5406028114,Tier 3
1170,5406028122,Tier 3
1171,5406029011,Tier 3
1172,5406030037,Tier 3
1173,5409001005,Not Eligible
1174,5409001009,Not Eligible
1175,5409001010,Not Eligible
1176,5409002009,Not Eligible
1177,5409002010,Not Eligible
1178,5409002011,Not Eligible
1179,5409002012,Not Eligible
1180,5409002013,Not Eligible
1181,5409002015,Not Eligible
1182,5409002017,Not Eligible
1183,5409002018,Not Eligible
1184,5409002019,Not Eligible
1185,5409002024,Not Eligible
1186,5409002025,Not Eligible
1187,5409002027,Not Eligible
1188,5409002028,Not Eligible
1189,5409002029,Not Eligible
1190,5409002030,Not Eligible
1191,5409002031,Not Eligible
1192,5409002900,Not Eligible
1193,5409002901,Not Eligible
1194,5409002902,Not Eligible
1195,5409002903,Not Eligible
1196,5409002904,Not Eligible
1197,5409003037,Not Eligible
1198,5409003038,Not Eligible
1199,5409004011,Not Eligible
1200,5409013908,Not Eligible
1201,5409013909,Not Eligible
1202,5409013910,Not Eligible
1203,5409013911,Not Eligible
1204,5409013915,Not Eligible
1205,5414011004,Tier 4
1206,5406028041,Tier 3
1207,5406028130,Tier 3
1208,5406028131,Tier 3
1209,5406028133,Tier 3
1210,5406028141,Tier 3
1211,5406028106,Tier 3
1212,5406030022,Tier 3
1213,5409002023,Not Eligible
1214,5409003036,Not Eligible
1215,5409013905,Not Eligible
1216,5406030019,Tier 3
1217,5406030024,Tier 3
1218,5406030029,Tier 3
1219,5409001903,Not Eligible
1220,5409003018,Not Eligible
1221,5409002005,Not Eligible
1222,5409002021,Not Eligible
1223,5409003023,Not Eligible
1224,5409002008,Not Eligible
1225,5409002022,Not Eligible
1228,5409009010,NaN
1229,5409015906,NaN
1230,5409023926,NaN
1231,5409023948,NaN
1232,5414011017,Tier 4
1233,5414011027,Tier 4
1234,5447027902,Not Eligible
1235,5414011022,Tier 4
1236,5447032900,Not Eligible
1237,5414016805,Tier 4
1238,5414015009,Tier 4
1239,5447027901,Not Eligible
