,APN,TOC
246,5414011015,Tier 4
247,5414005003,Tier 4
248,5408028910,Tier 3
249,5408019044,Tier 3
250,5414011005,Tier 4
251,5408019013,Tier 3
252,5406022091,Tier 2
253,5407008006,Tier 3
254,5414005016,Tier 4
255,5407023027,Tier 3
256,5407017041,Tier 3
257,5406025045,Tier 2
258,5406025050,Tier 2
259,5414008003,Tier 4
260,5406028021,Tier 3
261,5407004042,Tier 3
262,5407004004,Tier 3
263,5408019047,Tier 3
264,5407012016,Tier 3
265,5409008025,Tier 3
266,5407011002,Tier 3
267,5406028034,Tier 3
268,5414012013,Tier 4
269,5414006021,Tier 4
270,5414008017,Tier 4
271,5406026001,Tier 2
272,5409006049,Tier 3
273,5409010901,Tier 3
274,5414011033,Tier 4
275,5414005022,Tier 4
276,5408013010,Tier 4
277,5408015001,Tier 3
278,5409016018,Tier 4
279,5406028026,Tier 3
280,5408019050,Tier 3
281,5406024044,Tier 2
282,5407009002,Tier 3
283,5414005019,Tier 4
284,5409023941,Tier 4
285,5408018016,Tier 3
286,5414006003,Tier 4
287,5407024010,Tier 3
288,5414005068,Tier 4
289,5406028069,Tier 3
290,5414010002,Tier 4
291,5408022001,Tier 3
292,5406024001,Tier 3
293,5406024052,Tier 2
294,5408021014,Tier 3
295,5409008002,Tier 4
296,5406022098,Tier 2
297,5406025028,Tier 2
298,5407005021,Tier 3
299,5409003034,Tier 3
300,5414006028,Tier 4
301,5406022120,Tier 2
302,5406022096,Tier 2
303,5409019802,Tier 3
304,5414011007,Tier 4
305,5414005067,Tier 4
306,5407005007,Tier 3
307,5409016038,Tier 4
308,5408031001,Tier 4
309,5407004040,Tier 3
310,5408032026,Tier 4
311,5408017023,Tier 3
312,5407018011,Tier 3
313,5406027022,Tier 3
314,5406022119,Tier 2
315,5407018017,Tier 3
316,5409003020,Tier 3
317,5407017019,Tier 3
318,5406024022,Tier 3
319,5408032007,Tier 4
320,5408029004,Tier 4
321,5408030018,Tier 4
322,5406024057,Tier 2
323,5409003017,Tier 3
324,5414005010,Tier 4
325,5409015919,Tier 3
326,5407011010,Tier 3
327,5414011024,Tier 4
328,5407023003,Tier 3
329,5414009006,Tier 4
330,5409006052,Tier 3
331,5409006013,Tier 3
332,5408030029,Tier 4
333,5406029007,Tier 3
334,5406027023,Tier 3
335,5406026029,Tier 2
336,5406022128,Tier 2
337,5406025005,Tier 2
338,5408020004,Tier 3
339,5408016002,Tier 3
340,5408017904,Tier 3
341,5406029003,Tier 3
342,5407010012,Tier 3
343,5406024011,Tier 3
344,5406028096,Tier 3
345,5408030035,Tier 4
346,5406022092,Tier 2
347,5406028100,Tier 3
348,5414005051,Tier 4
349,5407017052,Tier 3
