Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001
"060371021052","Block Group 2, Census Tract 1021.05, Los Angeles County, California","ACSSF","ca","150","00","0015946",,,,,"06","037",,,"102105","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021052","Block Group 2",,,,83250
"060371021071","Block Group 1, Census Tract 1021.07, Los Angeles County, California","ACSSF","ca","150","00","0015947",,,,,"06","037",,,"102107","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021071","Block Group 1",,,,97083
"060371021072","Block Group 2, Census Tract 1021.07, Los Angeles County, California","ACSSF","ca","150","00","0015948",,,,,"06","037",,,"102107","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371021072","Block Group 2",,,,
"060371031011","Block Group 1, Census Tract 1031.01, Los Angeles County, California","ACSSF","ca","150","00","0015949",,,,,"06","037",,,"103101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031011","Block Group 1",,,,121818
"060371031012","Block Group 2, Census Tract 1031.01, Los Angeles County, California","ACSSF","ca","150","00","0015950",,,,,"06","037",,,"103101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031012","Block Group 2",,,,117292
"060371031021","Block Group 1, Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","150","00","0015951",,,,,"06","037",,,"103102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031021","Block Group 1",,,,61042
"060371031022","Block Group 2, Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","150","00","0015952",,,,,"06","037",,,"103102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031022","Block Group 2",,,,75074
"060371031023","Block Group 3, Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","150","00","0015953",,,,,"06","037",,,"103102","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031023","Block Group 3",,,,88792
"060371031024","Block Group 4, Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","150","00","0015954",,,,,"06","037",,,"103102","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031024","Block Group 4",,,,73229
"060371031025","Block Group 5, Census Tract 1031.02, Los Angeles County, California","ACSSF","ca","150","00","0015955",,,,,"06","037",,,"103102","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371031025","Block Group 5",,,,61296
"060371032011","Block Group 1, Census Tract 1032.01, Los Angeles County, California","ACSSF","ca","150","00","0015956",,,,,"06","037",,,"103201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371032011","Block Group 1",,,,77765
"060371032012","Block Group 2, Census Tract 1032.01, Los Angeles County, California","ACSSF","ca","150","00","0015957",,,,,"06","037",,,"103201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371032012","Block Group 2",,,,77269
"060371032021","Block Group 1, Census Tract 1032.02, Los Angeles County, California","ACSSF","ca","150","00","0015958",,,,,"06","037",,,"103202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371032021","Block Group 1",,,,104747
"060371033001","Block Group 1, Census Tract 1033, Los Angeles County, California","ACSSF","ca","150","00","0015959",,,,,"06","037",,,"103300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371033001","Block Group 1",,,,128942
"060371033002","Block Group 2, Census Tract 1033, Los Angeles County, California","ACSSF","ca","150","00","0015960",,,,,"06","037",,,"103300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371033002","Block Group 2",,,,130962
"060371034011","Block Group 1, Census Tract 1034.01, Los Angeles County, California","ACSSF","ca","150","00","0015961",,,,,"06","037",,,"103401","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371034011","Block Group 1",,,,110323
"060371034021","Block Group 1, Census Tract 1034.02, Los Angeles County, California","ACSSF","ca","150","00","0015962",,,,,"06","037",,,"103402","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371034021","Block Group 1",,,,82813
"060371034022","Block Group 2, Census Tract 1034.02, Los Angeles County, California","ACSSF","ca","150","00","0015963",,,,,"06","037",,,"103402","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371034022","Block Group 2",,,,105179
"060371034023","Block Group 3, Census Tract 1034.02, Los Angeles County, California","ACSSF","ca","150","00","0015964",,,,,"06","037",,,"103402","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371034023","Block Group 3",,,,155847
"060371034024","Block Group 4, Census Tract 1034.02, Los Angeles County, California","ACSSF","ca","150","00","0015965",,,,,"06","037",,,"103402","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371034024","Block Group 4",,,,99854
"060371041031","Block Group 1, Census Tract 1041.03, Los Angeles County, California","ACSSF","ca","150","00","0015966",,,,,"06","037",,,"104103","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041031","Block Group 1",,,,110469
"060371041032","Block Group 2, Census Tract 1041.03, Los Angeles County, California","ACSSF","ca","150","00","0015967",,,,,"06","037",,,"104103","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041032","Block Group 2",,,,100568
"060371041051","Block Group 1, Census Tract 1041.05, Los Angeles County, California","ACSSF","ca","150","00","0015968",,,,,"06","037",,,"104105","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041051","Block Group 1",,,,97623
"060371041052","Block Group 2, Census Tract 1041.05, Los Angeles County, California","ACSSF","ca","150","00","0015969",,,,,"06","037",,,"104105","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041052","Block Group 2",,,,31789
"060371041053","Block Group 3, Census Tract 1041.05, Los Angeles County, California","ACSSF","ca","150","00","0015970",,,,,"06","037",,,"104105","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041053","Block Group 3",,,,61204
"060371041081","Block Group 1, Census Tract 1041.08, Los Angeles County, California","ACSSF","ca","150","00","0015971",,,,,"06","037",,,"104108","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041081","Block Group 1",,,,53162
"060371041082","Block Group 2, Census Tract 1041.08, Los Angeles County, California","ACSSF","ca","150","00","0015972",,,,,"06","037",,,"104108","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041082","Block Group 2",,,,49554
"060371041083","Block Group 3, Census Tract 1041.08, Los Angeles County, California","ACSSF","ca","150","00","0015973",,,,,"06","037",,,"104108","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041083","Block Group 3",,,,128462
"060371041241","Block Group 1, Census Tract 1041.24, Los Angeles County, California","ACSSF","ca","150","00","0015974",,,,,"06","037",,,"104124","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041241","Block Group 1",,,,37443
"060371041242","Block Group 2, Census Tract 1041.24, Los Angeles County, California","ACSSF","ca","150","00","0015975",,,,,"06","037",,,"104124","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041242","Block Group 2",,,,84567
"060371041243","Block Group 3, Census Tract 1041.24, Los Angeles County, California","ACSSF","ca","150","00","0015976",,,,,"06","037",,,"104124","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371041243","Block Group 3",,,,105673
"060371042011","Block Group 1, Census Tract 1042.01, Los Angeles County, California","ACSSF","ca","150","00","0015977",,,,,"06","037",,,"104201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060371042011","Block Group 1",,,,78750
